WAIT_TIME,NET_PROMOTER_SCORE
14,10
19,10
361,10
0,8
0,10
917,10
11,8
12,5
259,10
2,10
7,8
0,10
209,10
572,10
0,10
17,9
0,10
12,9
1,10
13,10
13,10
9,10
3,10
0,10
4,10
2,10
13,10
223,10
9,4
3,10
298,10
3,10
15,10
1,10
0,0
143,10
76,10
6,10
5,10
18,10
12,10
14,10
15,7
622,10
6,10
11,10
14,10
16,10
258,10
11,8
1072,10
14,10
1,10
183,10
0,10
0,10
4,10
20,10
14,10
14,10
63,10
12,10
1384,8
0,10
0,10
15,10
4,10
6,10
415,10
1,9
0,10
353,9
15,10
13,10
13,7
314,10
26,10
2,9
9,10
0,8
4,10
13,10
0,10
15,10
1140,9
762,10
6,8
379,10
10,10
167,6
12,10
31,10
188,10
15,10
2,10
6,10
22,10
490,10
11,10
14,10
992,10
79,10
10,10
3,10
3,8
362,10
176,10
3,10
7,10
3,10
14,7
5,10
1,0
1,10
1,10
12,10
0,10
5,10
1999,10
124,10
209,10
719,9
582,10
15,10
0,10
418,10
8,10
0,10
14,10
3,10
14,10
2,10
14,10
245,10
0,10
629,8
1,10
1,10
14,7
14,10
13,10
1481,10
11,10
14,10
2,10
5,10
0,10
11,9
12,10
247,10
10,10
6,10
885,10
9,10
432,10
13,10
0,8
13,10
10,10
409,10
2,10
10,10
13,10
1,10
13,0
151,10
4,10
6,10
8,10
15,10
43,10
1,10
270,10
659,10
14,9
862,10
1,10
1176,10
12,10
5,10
15,10
0,10
48,10
0,10
0,10
172,10
12,10
12,10
11,10
46,10
11,10
0,10
4,9
13,10
121,10
12,10
14,10
1,10
24,10
8,10
12,10
16,10
14,10
14,10
110,10
8,10
33,10
11,10
3,10
3,10
1,9
0,10
0,9
17,8
0,10
10,10
3,9
10,10
12,10
6,10
12,10
1,10
13,10
0,10
14,10
214,10
12,10
29,10
175,10
0,10
10,10
505,10
10,10
27,10
12,10
44,10
8,10
0,10
562,8
5,10
0,10
586,10
1,8
12,10
22,10
0,10
5,9
12,10
14,10
14,10
14,10
38,10
1,0
14,10
12,4
15,10
8,10
13,10
12,10
353,8
3,8
377,10
13,9
55,10
14,10
13,10
0,10
15,10
0,10
14,9
29,10
2,10
12,10
4,8
10,10
10,10
5,8
189,10
2,10
3,10
2,9
0,10
36,10
6,10
18,10
6,10
1,10
173,9
6,10
15,9
7,10
14,10
14,10
231,10
20,10
957,10
15,10
16,10
5,9
10,10
1,10
28,10
293,10
1748,10
2,8
13,0
7,10
146,10
14,7
257,10
11,10
2,10
6,10
475,10
123,10
2,10
2,10
13,10
11,10
10,10
14,10
14,10
13,10
5,8
13,7
7,10
15,8
11,10
122,10
12,10
9,10
21,10
9,10
6,10
253,10
132,10
14,0
2,10
6,10
13,9
12,10
14,10
13,10
0,10
12,10
378,10
8,10
268,10
14,10
2,10
12,10
13,10
3,7
15,10
2,10
1182,10
188,10
10,10
3,10
11,10
10,8
227,5
1434,9
140,10
10,10
0,7
5,10
3,10
58,10
5,10
1,10
14,10
1481,10
0,10
11,10
11,10
437,10
13,10
155,10
13,10
28,10
39,10
228,10
277,10
1,0
8,10
36,10
0,10
7,5
408,9
12,10
867,10
10,10
13,10
5,10
99,10
15,10
0,10
0,10
12,9
0,1
208,10
1891,10
3,10
37,10
26,10
2,10
12,10
0,10
1715,8
4,10
0,10
126,10
13,10
19,10
217,10
11,10
511,10
5,10
3,10
13,10
15,9
3,10
1,10
9,9
237,10
0,10
14,10
148,10
14,10
5,10
2,10
14,10
13,10
178,10
339,10
536,10
2,10
3,10
7,10
5,10
5,10
924,10
17,10
9,10
14,10
14,10
9,10
13,8
2,10
0,10
133,9
12,10
398,10
5,10
488,10
13,10
12,10
13,10
1043,10
268,10
13,10
4,10
34,10
0,10
7,10
130,10
9,10
1846,10
2,10
0,10
8,9
185,10
6,10
30,10
79,10
3,10
13,10
15,10
13,10
28,10
525,7
9,10
9,10
13,8
60,8
14,10
1,10
4,10
146,9
3,10
2,10
234,9
72,10
13,10
252,10
8,10
91,10
215,10
11,10
113,10
4,10
0,10
3,10
12,10
10,10
12,10
223,10
314,10
12,10
4,7
1,10
111,10
15,10
0,10
0,4
860,10
15,10
10,10
102,10
14,10
12,10
14,10
137,10
14,10
13,2
1,10
14,10
80,8
13,10
230,10
514,10
1331,10
532,10
2,10
14,10
15,10
12,7
99,10
9,10
0,10
101,10
161,10
114,10
9,10
2,10
0,10
1560,10
7,10
11,10
292,10
2,10
107,10
16,10
5,10
307,10
22,10
8,9
10,10
2,10
12,10
12,10
0,10
15,9
13,10
14,10
14,10
243,10
2,10
2,10
10,10
3,10
13,10
14,10
13,10
24,10
8,10
13,10
239,10
15,10
13,10
12,10
2,10
0,0
2,7
14,10
10,10
41,10
454,10
1,10
139,10
31,10
1,10
2,10
4,10
357,10
2,10
90,10
0,9
9,10
0,10
12,10
10,8
0,10
3,10
3,10
6,10
206,10
38,9
515,10
14,10
13,10
3,10
990,10
3,10
203,10
4,10
9,10
6,7
6,10
10,10
2,10
87,10
14,10
66,10
14,10
25,10
2,10
10,10
193,10
14,10
2011,10
8,10
14,10
10,10
4,8
5,10
372,8
1,7
10,10
5,10
14,10
10,10
9,10
0,10
15,10
4,10
89,0
0,10
5,10
66,10
1,10
361,10
7,9
11,10
16,10
213,10
1785,10
679,10
3,10
0,10
14,10
0,8
22,10
8,10
1,10
493,10
0,10
0,10
7,10
257,10
13,10
7,10
14,10
3,10
0,10
33,10
11,10
0,10
2,10
8,10
13,10
296,10
1074,10
1,10
0,10
1,10
12,10
12,10
9,10
51,10
19,10
10,10
273,8
1,10
35,10
26,10
3,10
11,10
3,10
14,10
383,10
3,10
14,10
18,10
9,10
12,10
545,10
210,9
1,9
11,10
135,10
0,8
10,10
32,10
629,7
9,9
16,10
0,10
16,10
11,10
2,10
736,10
121,10
1,10
22,10
863,9
14,10
5,3
0,10
1,9
271,10
844,10
12,10
4,10
3,10
5,10
13,10
4,10
1,10
6,10
552,10
2,10
936,10
13,10
14,10
27,10
29,10
1,10
14,10
1142,10
3,10
214,10
13,10
23,9
2,7
18,10
2,10
93,10
13,10
26,9
6,10
6,10
19,10
13,10
14,10
15,0
4,10
13,10
2,10
12,10
1,8
6,10
15,10
7,7
583,10
123,0
12,10
229,10
14,10
127,10
0,10
14,7
80,10
0,10
0,10
67,10
623,10
13,0
266,10
1130,9
6,10
10,10
104,8
11,10
35,10
680,10
197,10
12,10
2,10
3,10
173,10
0,10
2,10
1,10
68,10
4,10
12,10
14,10
14,10
13,10
96,10
11,10
12,8
1963,0
8,10
9,10
15,10
55,10
16,10
1,10
6,10
14,10
6,10
0,10
191,10
10,10
14,10
21,10
12,10
28,10
7,10
327,10
13,10
0,10
37,10
4,8
4,10
97,10
1,10
12,10
0,10
28,10
81,8
139,10
10,10
301,10
6,10
0,10
46,10
12,10
11,10
14,10
2,10
5,10
0,10
12,10
29,10
5,10
143,10
11,8
237,10
6,10
13,10
103,10
3,10
7,10
299,10
1,10
17,10
8,10
213,10
0,10
7,8
0,10
14,10
2,9
1,10
3,8
92,8
103,10
37,10
0,10
1,10
1167,10
0,10
14,10
13,10
35,10
1643,10
0,0
142,10
13,10
14,10
2,10
3,10
61,10
1,10
10,10
14,10
14,10
28,10
7,10
14,10
4,10
0,10
42,10
11,10
14,10
5,10
149,10
7,10
207,10
13,10
0,10
15,10
13,10
83,10
10,10
5,7
1,6
15,10
11,7
11,8
1301,10
262,10
261,10
68,10
16,10
701,10
623,10
14,10
101,10
29,10
1,10
0,10
545,8
14,10
3,10
246,10
8,10
278,10
2,10
231,10
1,10
13,10
544,10
2,8
14,9
2,10
13,10
10,10
0,10
4,10
14,10
0,10
13,10
3,0
329,8
53,10
3,10
909,10
322,10
169,10
399,10
363,10
15,10
11,10
351,10
103,10
7,10
275,10
81,10
19,10
6,10
157,10
144,10
242,10
56,10
352,10
1,10
13,10
226,4
8,7
0,10
140,10
3,10
11,10
49,10
13,10
8,10
327,10
15,10
1861,9
848,10
12,10
0,10
14,0
13,10
0,10
0,10
13,10
14,10
13,10
561,10
10,10
18,10
1,9
8,8
1,10
14,10
7,10
1,10
14,10
13,10
1,9
4,10
7,10
184,10
11,10
21,10
108,10
143,10
3,10
111,10
14,10
3,10
4,10
14,10
2,10
13,10
206,10
11,10
12,10
12,7
6,10
13,10
135,10
135,10
2,10
9,10
7,10
10,10
199,10
15,10
3,10
70,10
194,10
14,10
10,10
9,10
0,10
2,10
15,10
0,10
14,10
0,7
4,10
6,10
16,10
81,10
14,10
3,10
1234,10
13,10
1,10
172,10
0,10
441,10
318,10
4,10
1014,10
13,10
3,10
184,10
38,10
333,10
120,10
6,7
198,10
134,7
35,10
21,10
10,10
14,10
1,10
0,10
3,10
60,10
3,10
11,10
11,10
342,10
951,9
15,10
489,8
15,10
13,10
6,10
13,10
3,10
7,10
202,10
47,10
38,10
2,10
558,10
62,10
14,10
21,10
10,10
11,8
9,10
12,9
13,10
643,10
4,10
6,10
8,10
941,10
28,10
0,10
13,10
11,10
4,10
139,10
4,10
18,10
4,10
2,10
0,10
7,10
403,10
13,10
2,10
6,10
22,10
13,10
7,10
2,10
14,9
3,10
6,10
13,9
13,10
13,10
7,10
20,10
14,10
27,10
14,10
11,10
82,10
2,10
14,10
1,10
65,10
0,10
38,10
13,10
14,9
0,10
89,8
14,10
7,10
588,9
16,10
8,10
212,10
5,10
4,10
159,10
16,8
16,10
0,10
15,10
16,10
13,10
7,10
13,10
0,10
53,10
0,10
12,10
0,10
12,10
0,10
10,10
15,10
7,1
12,10
683,8
15,10
2,10
5,10
1019,10
14,10
13,10
192,10
34,10
3,10
64,10
12,10
1028,7
251,9
426,10
5,10
13,10
5,10
12,10
11,0
13,10
14,10
13,10
15,10
10,10
6,10
22,9
2,10
0,10
3,10
0,10
4,10
484,10
8,10
1,10
13,10
13,10
5,10
602,8
13,10
5,10
0,8
14,10
13,10
237,10
13,10
12,8
14,5
28,10
14,10
10,3
2,10
2,10
0,10
4,10
17,10
12,10
4,10
5,10
13,10
12,10
10,10
7,10
18,10
1,10
2,10
10,10
1524,7
0,10
4,10
0,10
12,10
8,10
10,10
3,10
14,10
9,10
12,10
126,10
696,10
7,10
411,10
236,10
338,4
13,9
447,10
758,2
51,10
13,10
66,1
334,10
12,10
92,10
0,5
14,10
1999,10
10,10
1,10
5,10
3,10
0,9
846,8
8,10
14,7
13,8
13,10
83,10
15,10
14,10
241,10
284,10
14,10
14,8
0,10
5,10
991,10
170,10
5,10
2,10
8,10
13,10
13,10
32,10
12,10
6,10
4,10
2,10
13,10
12,10
240,10
281,10
313,9
6,0
8,10
0,10
33,10
439,10
20,10
13,10
1,10
9,10
0,10
2,10
15,10
8,10
675,10
22,10
0,10
8,10
1,10
52,10
1,10
7,10
12,5
287,10
14,10
3,8
6,10
12,10
251,10
0,10
78,8
448,10
352,10
30,10
14,9
15,10
7,10
267,10
13,9
0,10
12,10
385,10
12,10
10,10
15,10
59,10
9,10
130,10
14,10
4,10
4,10
4,10
13,10
13,10
56,10
1,10
1,10
13,10
12,10
11,10
14,10
14,10
408,10
10,10
14,10
0,10
60,10
13,10
13,10
69,10
2,10
14,10
14,8
19,9
95,10
13,10
11,10
0,10
3,8
14,10
188,8
14,10
18,10
347,10
12,10
6,10
0,10
342,10
4,10
13,10
10,10
0,10
7,4
13,10
6,10
667,10
8,0
783,10
318,10
14,10
10,10
14,9
491,7
0,10
65,10
14,10
86,10
0,10
15,10
0,10
12,10
367,10
3,10
5,10
5,10
17,10
9,0
15,10
33,10
6,10
14,7
15,10
14,10
116,10
14,10
11,10
69,10
164,10
14,10
16,10
1,10
12,10
0,10
247,10
1,10
12,10
14,10
12,10
9,10
361,10
11,10
2,10
0,10
11,8
11,10
12,10
5,10
19,10
34,10
13,10
50,10
4,10
103,9
168,10
12,5
15,10
11,10
15,10
96,10
111,10
5,10
4,10
11,9
603,10
