CREATED_AT,WAIT_TIME,NET_PROMOTER_SCORE
09:39.4,325,10
35:54.6,505,10
31:35.1,14,10
34:02.0,878,10
16:27.8,3,10
45:46.8,552,10
38:13.2,1,10
32:13.0,14,10
25:15.2,13,10
53:42.0,188,10
27:58.5,39,10
20:58.4,253,10
26:53.9,9,10
29:32.6,7,10
53:17.0,0,10
25:18.3,14,7
56:29.3,14,10
16:19.8,9,10
27:18.2,432,10
23:12.4,2,10
22:44.5,14,10
23:26.0,3,10
23:36.5,4,8
24:25.2,2,10
13:01.4,19,10
51:15.2,0,10
53:40.5,11,8
28:14.0,30,10
08:31.1,4,10
03:44.7,2,10
31:40.1,190,10
59:00.7,14,10
00:40.8,15,10
13:01.1,14,1
19:34.5,12,10
45:42.4,55,10
25:57.6,0,10
02:20.6,2,10
26:04.5,379,10
55:43.5,3,10
18:02.8,6,10
34:45.7,15,10
58:18.9,490,10
47:38.1,4,10
18:10.2,10,10
41:47.8,1,10
38:16.0,13,10
46:21.6,0,10
06:58.9,10,10
29:37.5,502,10
22:28.7,8,10
22:36.4,14,10
55:31.6,139,10
27:04.3,12,9
23:52.1,10,10
26:41.9,4,10
40:48.6,863,9
31:34.3,0,8
36:56.1,7,10
38:23.1,14,10
58:03.3,5,10
50:12.6,14,10
55:02.7,52,10
28:30.5,209,10
52:54.6,0,8
55:53.7,0,10
55:07.9,0,10
23:51.8,15,10
22:43.2,2,10
11:22.7,13,10
35:30.9,2,10
01:41.8,15,10
43:45.9,15,10
30:31.2,8,10
28:51.2,5,10
24:18.5,0,10
27:17.2,7,9
09:23.5,292,10
13:43.7,13,10
30:18.8,7,8
22:38.5,106,10
53:13.3,5,10
31:25.4,0,10
14:29.3,11,10
10:22.7,1,10
30:29.5,4,10
37:35.4,0,10
14:11.1,14,10
34:14.9,379,10
40:02.2,0,10
39:34.4,15,10
36:31.9,1,10
57:36.5,3,10
07:32.4,7,10
16:44.9,187,10
04:37.5,0,10
20:43.7,119,10
37:13.4,254,10
49:06.3,5,10
09:35.2,13,10
09:08.0,13,10
16:54.1,15,7
06:16.1,4,10
22:34.3,2,10
59:57.0,16,10
46:43.2,14,10
38:03.7,2,10
23:14.2,13,10
06:35.6,6,10
38:53.2,290,10
59:33.8,4,10
58:00.7,38,2
53:52.0,6,10
01:53.9,8,10
23:39.3,1,10
10:07.4,15,10
32:35.5,4,10
33:49.1,7,10
56:58.9,0,0
50:27.8,600,10
23:06.1,14,10
13:58.8,4,10
27:05.2,161,10
45:27.0,11,8
00:29.9,15,3
18:19.8,1,10
11:27.5,8,10
06:37.2,13,10
45:56.6,0,10
43:33.0,2,10
03:09.6,2,10
43:16.8,1072,10
13:05.6,917,10
05:09.8,314,10
29:10.5,6,10
49:02.0,4,7
59:17.5,14,10
05:23.3,2,10
02:32.7,1,10
19:43.6,3,10
25:16.5,415,10
24:37.7,70,10
30:46.2,7,10
14:13.7,3,10
58:46.3,0,10
22:11.7,13,7
10:16.3,15,10
29:55.1,134,0
20:46.2,11,10
59:17.8,13,10
20:39.9,3,10
09:10.2,3,10
34:47.1,5,9
22:57.1,28,10
15:22.9,15,10
43:23.5,1,10
06:42.5,1,10
24:26.7,6,10
35:26.2,3,10
03:59.6,15,0
11:23.2,26,10
20:48.2,10,10
14:12.3,17,8
26:38.6,0,9
20:36.7,127,10
55:11.4,10,10
15:33.3,747,10
09:18.3,15,10
09:55.4,38,10
29:13.5,2,8
12:40.3,22,10
35:59.1,11,10
39:51.2,5,9
52:30.9,86,10
36:09.1,214,10
15:13.6,14,10
25:28.0,37,7
26:16.2,5,3
06:58.1,231,10
38:14.1,14,10
23:57.6,2,7
36:12.4,14,10
36:48.1,14,10
39:54.0,57,10
01:42.8,14,10
24:48.3,13,10
10:20.7,18,10
09:29.3,11,10
16:44.3,237,10
19:14.3,12,10
06:05.0,5,10
34:56.3,9,10
52:50.1,11,10
22:29.4,12,10
43:47.8,12,10
28:18.1,12,10
31:31.2,3,10
00:18.5,15,10
44:25.1,1,0
20:03.3,13,10
33:08.0,14,10
25:07.1,7,10
28:54.3,7,10
32:30.3,0,10
43:48.2,16,10
37:36.1,289,8
36:04.2,14,10
13:07.7,27,10
19:56.7,1,9
11:55.2,760,0
19:30.4,3,10
05:08.8,261,10
10:42.2,6,10
54:56.7,14,10
04:23.8,619,10
42:32.6,0,10
22:51.2,12,9
54:46.1,6,10
35:03.4,42,10
28:00.5,1,10
41:24.6,3,10
23:00.7,31,10
42:36.4,13,10
40:13.4,479,10
23:23.4,5,10
31:40.2,475,10
22:44.1,7,10
07:43.9,11,10
16:31.3,60,10
58:16.2,1715,8
19:33.7,13,10
06:55.5,3,10
52:55.4,26,10
52:49.4,16,10
03:09.7,2,10
19:29.8,948,10
03:41.4,12,9
14:39.7,5,10
14:46.3,7,10
49:10.0,315,10
07:32.5,2,10
04:51.9,35,10
22:55.9,511,10
55:30.0,6,8
56:46.1,3,10
48:15.5,14,10
36:49.1,15,10
46:19.7,21,10
02:09.3,148,10
56:05.5,9,10
49:27.7,217,10
09:58.5,345,10
02:49.8,473,10
21:45.2,5,10
05:26.0,1,10
03:16.0,228,10
22:40.0,6,10
00:58.0,172,4
57:20.1,14,10
50:35.4,14,10
45:49.2,75,10
28:21.4,13,10
59:34.7,2,10
44:10.4,0,10
06:13.2,5,10
54:34.0,5,10
28:02.1,273,10
19:22.7,558,10
24:24.9,19,10
00:27.9,0,1
06:40.5,13,10
42:53.4,11,10
15:51.1,280,9
04:25.7,474,10
41:31.4,15,10
35:10.2,13,8
27:05.2,40,10
52:36.3,110,10
45:39.1,146,10
34:41.2,119,10
51:37.2,29,9
33:02.5,11,10
03:46.8,403,10
55:43.1,2,10
44:34.4,1891,10
30:14.5,11,10
47:01.9,239,10
30:04.6,3,10
49:14.4,2,0
44:02.8,13,10
51:46.2,0,10
57:16.6,0,10
09:26.1,14,10
35:41.1,17,10
20:14.6,8,10
25:41.1,132,10
17:33.3,0,10
55:32.4,14,10
17:29.3,1043,10
20:44.1,32,10
31:51.1,17,10
13:16.8,0,10
15:10.9,820,10
42:20.8,69,10
45:42.6,93,10
23:33.7,0,10
33:01.8,102,10
30:45.2,13,10
57:25.5,15,10
41:25.4,12,10
40:26.2,12,10
34:38.5,1612,10
40:37.4,583,10
50:31.8,13,10
