RAW AWT,AWT NORM,Group
0.016666667,-0.435125831,Promoter
0.066666667,-0.421642241,Promoter
9.05,2.000909486,Promoter
3.816666667,0.589627033,Promoter
0.033333333,-0.430631301,Promoter
0.15,-0.39916959,Promoter
2.25,0.167141203,Promoter
0.2,-0.385686,Promoter
0.066666667,-0.421642241,Promoter
0.033333333,-0.430631301,Promoter
2.833333333,0.324449757,Promoter
0.016666667,-0.435125831,Promoter
0.533333333,-0.295795398,Promoter
6.633333333,1.349202621,Promoter
0.233333333,-0.376696939,Promoter
0.233333333,-0.376696939,Promoter
0.35,-0.345235229,Promoter
0.4,-0.331751638,Promoter
0.9,-0.196915735,Promoter
0.066666667,-0.421642241,Promoter
0.733333333,-0.241861036,Promoter
0.183333333,-0.39018053,Promoter
0.533333333,-0.295795398,Promoter
0.033333333,-0.430631301,Promoter
2.233333333,0.162646673,Passive
1.233333333,-0.107025133,Promoter
0.366666667,-0.340740699,Promoter
0.1,-0.41265318,Promoter
0.083333333,-0.41714771,Promoter
3.066666667,0.387373178,Promoter
0.233333333,-0.376696939,Promoter
0.2,-0.385686,Promoter
0.016666667,-0.435125831,Promoter
1.483333333,-0.039607182,Passive
0.216666667,-0.38119147,Promoter
0.033333333,-0.430631301,Promoter
0.566666667,-0.286806337,Promoter
3.466666667,0.495241901,Promoter
0.05,-0.426136771,Promoter
0.016666667,-0.435125831,Promoter
0.133333333,-0.40366412,Promoter
0.133333333,-0.40366412,Passive
31.51666667,8.059536068,Promoter
0.183333333,-0.39018053,Promoter
2.033333333,0.108712312,Promoter
0.116666667,-0.40815865,Promoter
0.233333333,-0.376696939,Promoter
0.433333333,-0.322762578,Promoter
2,0.099723252,Promoter
0.05,-0.426136771,Passive
0.55,-0.291300867,Promoter
2.583333333,0.257031805,Promoter
0.216666667,-0.38119147,Promoter
0.133333333,-0.40366412,Promoter
0.016666667,-0.435125831,Promoter
0.033333333,-0.430631301,Promoter
0.033333333,-0.430631301,Promoter
3.383333333,0.47276925,Promoter
0.25,-0.372202409,Promoter
0.233333333,-0.376696939,Promoter
0.133333333,-0.40366412,Promoter
0.1,-0.41265318,Promoter
0.05,-0.426136771,Promoter
5.5,1.043574574,Promoter
5.033333333,0.917727731,Detractor
0.233333333,-0.376696939,Detractor
0.05,-0.426136771,Promoter
0.233333333,-0.376696939,Promoter
0.033333333,-0.430631301,Promoter
0.1,-0.41265318,Promoter
1.266666667,-0.098036073,Promoter
1.9,0.072756071,Promoter
0.366666667,-0.340740699,Promoter
0.05,-0.426136771,Promoter
0.2,-0.385686,Promoter
1.15,-0.129497784,Promoter
0.116666667,-0.40815865,Promoter
0.133333333,-0.40366412,Promoter
6.8,1.394147922,Promoter
0.183333333,-0.39018053,Promoter
2.05,0.113206842,Promoter
1.35,-0.075563422,Promoter
0.25,-0.372202409,Promoter
1.666666667,0.00983265,Detractor
16.51666667,4.014458973,Promoter
31.01666667,7.924700165,Promoter
0.083333333,-0.41714771,Passive
0.016666667,-0.435125831,Promoter
0.883333333,-0.201410265,Promoter
0.066666667,-0.421642241,Passive
0.15,-0.39916959,Detractor
0.25,-0.372202409,Promoter
11.98333333,2.791946785,Promoter
0.666666667,-0.259839157,Promoter
0.083333333,-0.41714771,Promoter
0.05,-0.426136771,Promoter
2.116666667,0.131184962,Promoter
13.1,3.093080302,Promoter
7.783333333,1.659325198,Detractor
10.71666667,2.450362497,Promoter
20.25,5.021233717,Promoter
0.25,-0.372202409,Promoter
2.616666667,0.266020866,Promoter
2.016666667,0.104217782,Promoter
0.066666667,-0.421642241,Promoter
0.3,-0.358718819,Promoter
0.1,-0.41265318,Promoter
3.483333333,0.499736431,Promoter
0.083333333,-0.41714771,Promoter
0.216666667,-0.38119147,Promoter
0.6,-0.277817277,Promoter
6.116666667,1.209872188,Promoter
0.25,-0.372202409,Promoter
0.233333333,-0.376696939,Promoter
0.016666667,-0.435125831,Promoter
1.383333333,-0.066574362,Promoter
0.333333333,-0.349729759,Promoter
14.33333333,3.42567553,Promoter
0.066666667,-0.421642241,Passive
0.083333333,-0.41714771,Promoter
0.2,-0.385686,Promoter
0.25,-0.372202409,Promoter
3.016666667,0.373889588,Detractor
0.083333333,-0.41714771,Promoter
0.216666667,-0.38119147,Promoter
0.233333333,-0.376696939,Promoter
0.2,-0.385686,Promoter
0.016666667,-0.435125831,Promoter
