WAIT_TIME,RECOMMENDATION_STATUS
1012,1
853,0
160,1
2033,0
233,0
232,0
822,1
796,1
347,1
485,0
2276,1
848,1
83,1
278,1
401,1
397,1
589,0
426,1
351,1
432,1
236,0
197,1
216,0
183,0
183,1
1342,0
566,1
994,1
700,1
143,0
629,1
972,1
675,1
1406,1
1286,0
145,1
478,0
556,0
457,1
327,1
291,0
914,1
493,0
257,1
426,1
910,0
430,1
952,1
251,1
617,1
224,1
328,1
261,1
117,0
576,1
240,0
94,0
176,1
1704,1
329,1
928,1
339,1
188,0
627,0
600,1
614,1
1477,0
586,0
98,1
693,1
234,1
240,1
191,1
912,1
625,1
550,1
229,1
547,1
1715,1
623,1
452,1
445,1
887,1
587,0
268,1
366,1
221,1
320,1
1217,1
1142,0
334,0
735,1
643,1
724,1
258,1
280,1
538,1
1674,0
241,1
1470,1
221,0
100,0
51,0
307,1
1403,0
307,1
207,1
1049,1
101,1
318,1
1011,0
466,1
1352,1
91,0
397,0
1187,0
141,0
644,0
581,0
190,1
183,1
1444,1
327,0
210,1
392,0
316,1
424,0
143,1
243,0
1193,0
815,0
473,1
178,1
1611,0
267,1
307,1
1929,1
328,0
393,1
648,1
659,1
657,1
351,1
872,1
592,1
266,1
301,1
775,1
1171,0
1514,1
632,1
405,1
506,0
1028,0
272,1
707,1
409,0
188,0
236,1
1471,0
1130,1
153,0
244,1
184,0
10,1
2161,0
2203,1
598,0
455,0
318,0
1629,0
272,1
886,1
381,1
410,0
172,1
867,0
426,1
573,1
562,1
760,0
420,0
14,0
361,1
708,1
830,0
218,1
381,1
959,0
832,0
548,1
913,1
1427,1
1510,0
940,0
1390,0
960,1
408,1
217,1
1208,0
472,1
389,0
184,0
396,0
638,1
441,1
380,1
1342,1
1555,1
131,0
284,0
1092,1
1231,1
322,1
232,1
305,1
34,1
972,0
251,1
896,1
533,1
248,1
330,0
224,1
382,0
370,1
1845,1
230,0
610,0
983,0
531,1
1038,1
796,0
744,1
262,0
447,1
306,1
566,1
226,1
127,1
288,0
464,0
807,0
961,0
1628,0
280,0
1785,1
440,0
222,0
202,1
850,1
114,0
200,0
15,0
877,0
1203,0
331,1
616,1
495,1
250,0
188,1
358,1
540,1
930,0
240,1
187,1
902,0
1816,1
1184,1
1222,1
1178,1
623,1
590,1
561,1
348,1
130,0
2431,1
1540,1
984,0
156,0
255,0
794,0
867,1
303,1
102,1
1213,1
1956,1
465,1
353,1
1110,1
364,1
700,1
580,0
1165,1
163,0
497,0
242,0
395,1
249,1
1722,1
467,0
607,1
267,0
1289,1
1151,0
115,0
228,1
81,1
878,0
159,1
2045,1
230,1
618,1
368,0
754,1
520,1
684,0
568,1
2627,1
193,0
327,0
153,0
991,1
513,0
127,0
513,1
923,1
480,0
155,1
107,0
43,0
365,1
875,1
619,0
303,1
185,1
1424,1
546,1
84,1
462,1
66,0
812,1
143,1
1323,0
426,0
1542,0
100,0
624,0
568,0
1327,1
1480,0
705,1
116,1
1098,1
579,1
816,0
565,0
1293,1
956,0
1070,1
390,1
1963,1
647,0
315,1
522,1
240,0
1456,1
371,1
346,1
153,1
587,1
301,0
693,1
413,1
1891,1
518,1
609,0
460,0
1147,1
788,1
817,1
432,1
981,1
1202,0
1361,1
103,0
591,0
1032,0
724,1
688,0
772,1
519,1
420,0
110,1
377,1
957,0
131,1
811,0
937,1
1387,0
631,1
53,1
150,1
606,0
671,1
625,1
648,1
295,1
1138,1
721,1
122,1
240,1
1295,1
491,1
168,0
561,1
1818,1
772,0
1278,0
716,0
129,0
1021,1
890,0
540,0
456,1
1001,0
528,1
1251,1
528,1
1182,0
496,0
641,0
127,1
272,1
392,1
679,1
741,1
125,1
1333,1
741,1
601,1
226,1
1437,1
755,1
763,1
515,1
666,1
711,1
1408,1
272,1
606,1
843,1
325,1
821,0
6,0
302,1
896,1
367,0
255,0
188,0
232,0
487,0
429,1
406,0
1550,1
176,1
728,0
301,1
282,0
475,1
864,0
876,0
308,1
182,0
347,1
768,1
264,1
1627,1
967,1
350,0
488,1
334,1
165,1
368,1
675,0
801,0
1234,1
341,1
2407,1
714,1
349,1
331,0
962,1
897,0
702,0
487,1
25,0
304,1
43,0
62,1
502,0
433,1
295,1
538,1
584,0
417,1
1341,0
308,1
414,0
763,0
414,1
1151,1
693,1
965,1
486,1
412,1
441,0
183,0
25,0
524,0
346,1
1081,1
2011,1
386,0
1736,1
957,1
18,1
63,1
1144,0
463,1
583,1
1249,1
678,1
919,0
1151,1
872,0
348,1
961,1
207,0
170,1
985,1
260,1
1337,0
81,0
516,0
773,1
440,1
348,1
947,1
1481,1
676,1
1077,1
273,0
234,0
479,0
124,0
1839,0
400,0
2028,1
336,1
846,1
1681,1
874,0
463,1
268,0
610,1
75,0
1999,1
1105,1
240,1
438,0
41,0
145,0
1396,0
460,1
30,1
1285,1
368,1
510,1
668,0
320,0
1341,0
1155,1
539,1
273,1
2344,0
563,1
408,1
693,1
1551,1
1042,0
1140,0
1830,0
281,1
758,1
907,1
436,1
621,0
541,1
503,1
1198,1
378,1
1038,1
1555,0
396,0
694,0
15,1
342,1
219,1
406,0
544,1
229,1
407,0
1438,1
521,1
1476,1
235,1
114,1
98,1
720,1
388,1
265,0
281,1
305,1
235,1
835,0
438,1
263,1
137,1
406,0
726,0
516,1
812,1
475,1
310,1
99,0
455,1
177,1
401,0
1083,0
128,1
1169,0
1148,0
103,1
270,1
610,1
1751,0
838,1
322,1
382,1
400,1
152,1
1147,1
1076,1
154,0
522,1
738,1
575,0
91,1
900,1
863,0
820,1
361,1
1988,0
143,0
2328,1
61,1
472,0
646,1
366,1
889,0
992,1
314,0
115,1
1981,1
332,1
1180,1
259,1
174,0
623,1
1183,0
269,0
744,0
753,0
859,1
242,1
401,1
470,1
581,1
416,0
488,0
1256,1
16,0
229,0
556,0
38,0
24,0
148,1
296,0
108,0
933,0
1243,0
166,1
652,1
706,0
202,0
843,0
219,1
199,1
1223,1
647,1
801,0
122,1
547,1
574,1
458,0
309,0
680,1
308,0
352,0
141,0
394,1
247,0
157,1
95,1
869,1
1854,0
187,1
372,1
752,1
703,1
630,1
122,1
11,1
1434,1
691,0
1371,0
258,0
508,1
730,1
632,1
776,1
506,1
489,1
438,1
421,0
858,1
641,1
159,1
450,1
698,1
481,0
1097,1
715,1
259,1
681,0
971,1
772,1
663,1
492,1
620,0
717,0
478,1
147,1
552,1
1099,1
1703,1
1120,0
1612,1
1054,0
897,1
308,1
1125,1
387,0
480,1
894,0
381,0
593,1
417,1
178,0
380,0
1152,0
882,1
1513,0
725,0
134,1
523,1
841,0
504,1
916,0
657,0
451,0
475,1
475,0
776,0
1267,1
896,0
497,1
867,1
585,1
265,1
700,0
636,0
945,1
12,0
1288,1
641,0
1241,0
225,1
232,1
122,0
1231,0
609,1
483,0
174,0
64,0
297,1
117,1
372,1
740,1
60,0
276,1
1517,0
268,1
374,0
1701,1
1096,0
826,1
290,1
137,0
354,0
688,1
142,0
834,0
288,0
931,0
857,1
334,1
157,1
402,1
670,0
425,1
17,0
213,0
1631,0
639,1
488,1
309,1
359,0
621,1
357,0
750,1
334,1
1829,0
314,0
183,1
515,1
1230,0
341,1
431,1
795,1
1071,0
409,1
573,1
943,1
591,1
340,1
791,1
462,1
108,1
886,1
1145,1
423,1
2264,1
66,0
403,1
444,1
1018,1
1139,0
378,1
407,0
627,1
440,1
573,0
303,1
811,0
325,1
243,1
756,1
306,0
240,1
518,1
669,0
761,1
1384,1
799,0
256,1
312,1
789,0
116,1
340,1
611,1
300,0
991,1
316,0
450,0
553,1
410,0
763,0
600,1
86,1
602,0
1016,1
485,1
43,0
1258,0
135,0
975,0
277,1
1444,0
256,1
315,0
241,1
386,0
650,1
1007,1
185,1
335,1
650,0
575,1
273,0
160,0
1000,1
19,1
150,0
1556,1
543,1
1548,1
1748,1
315,0
376,1
307,1
289,1
665,0
158,0
1796,1
1213,1
778,1
138,0
544,1
206,1
937,1
509,0
125,1
588,0
1113,1
558,1
789,0
1031,1
838,0
366,1
231,1
1820,1
5,0
560,1
166,1
306,1
305,1
1656,1
247,1
1602,0
168,1
240,0
912,1
298,0
385,1
734,0
224,0
286,1
514,1
213,1
382,0
231,1
270,1
403,0
339,1
196,1
50,1
567,1
487,1
835,1
307,0
251,1
267,1
13,0
1412,0
281,0
630,1
674,1
495,1
364,1
740,0
383,1
401,1
891,0
562,1
348,1
464,0
438,1
259,1
667,0
582,0
1170,1
1534,0
146,0
322,1
200,0
98,0
382,1
680,1
116,1
317,1
1149,0
885,1
217,1
319,1
409,1
401,1
189,1
730,1
436,1
185,1
236,1
530,0
965,1
268,0
379,1
106,0
675,0
463,1
551,1
133,1
460,1
359,1
997,1
587,1
436,1
258,1
892,0
15,0
960,0
466,0
1055,1
312,1
1303,1
370,1
212,1
1269,1
482,1
525,0
640,1
381,1
800,0
1407,1
1197,0
721,1
1635,1
969,1
